channel,multiplier,impressions,assumed_spend,contribution_mean,contribution_hdi_lower,contribution_hdi_upper
Email_Impressions,1.4000000000000001,3120763558.654238,4681145.337981357,134365989.26000684,113897865.31634894,159024351.0158192
Email_Impressions,1.5,3343675241.4152546,5015512.862122882,157263423.40698615,134938710.7414011,185843252.17209575
Email_Impressions,1.6,3566586924.176272,5349880.386264408,181843629.05428958,152417559.65074208,208630390.19062632
Email_Impressions,1.7000000000000002,3789498606.937289,5684247.910405934,208046760.96407643,176201322.74303013,238451624.7933478
Email_Impressions,1.8,4012410289.698306,6018615.434547459,235811949.86151862,199921692.97364837,268942924.2301182
Email_Impressions,1.9000000000000001,4235321972.459323,6352982.958688984,265078236.90691718,225189113.3639828,303643648.12024117
Email_Impressions,2.0,4458233655.22034,6687350.48283051,295785177.7557301,250680982.8068017,339316740.2757635
Affiliate_Impressions,0.0,0.0,0.0,0.08095689341649226,5.035016186663429e-23,3.7557436410724185e-06
Affiliate_Impressions,0.1,6757636.800000001,27030.547200000005,138759083.07099637,33921154.40157023,277607864.8365535
Affiliate_Impressions,0.2,13515273.600000001,54061.09440000001,202606465.31438878,58342467.682721764,354593099.7654952
Affiliate_Impressions,0.30000000000000004,20272910.400000002,81091.6416,235801658.15882477,77778684.23863137,398860561.711433
Affiliate_Impressions,0.4,27030547.200000003,108122.18880000002,255652211.6768847,86244209.56772876,425896063.9735425
Affiliate_Impressions,0.5,33788184.0,135152.736,268669186.385489,85581645.26591834,438386502.29243714
Affiliate_Impressions,0.6000000000000001,40545820.800000004,162183.2832,277779554.3575858,90614211.19046625,449255819.6624905
Affiliate_Impressions,0.7000000000000001,47303457.6,189213.8304,284470944.05955607,94687657.48600361,457157862.5418948
Affiliate_Impressions,0.8,54061094.400000006,216244.37760000004,289570703.6962584,97370119.48507605,463129687.81528926
Affiliate_Impressions,0.9,60818731.2,243274.9248,293571931.8631651,98699544.77118725,467778209.31794673
Affiliate_Impressions,1.0,67576368.0,270305.472,296785193.137032,99770798.97754559,471482002.6168308
Affiliate_Impressions,1.1,74334004.80000001,297336.01920000004,299415136.59344846,100649834.4210332,474489336.56358224
Affiliate_Impressions,1.2000000000000002,81091641.60000001,324366.5664,301601801.25421625,101381970.60786474,476969699.6766598
Affiliate_Impressions,1.3,87849278.4,351397.11360000004,303444116.45827353,101999389.0114188,479042662.2238965
Affiliate_Impressions,1.4000000000000001,94606915.2,378427.6608,305013895.08370775,102525584.3088274,480794912.1921795
Affiliate_Impressions,1.5,101364552.0,405458.208,306364498.5963074,102978118.38588206,482290760.6438001
Affiliate_Impressions,1.6,108122188.80000001,432488.7552000001,307536388.80050194,103370386.13654661,483578864.3535169
Affiliate_Impressions,1.7000000000000002,114879825.60000001,459519.30240000004,308560792.9145702,103712783.60323513,484696666.2783752
Affiliate_Impressions,1.8,121637462.4,486549.8496,309462187.9098038,104013502.29809752,485673409.951012
Affiliate_Impressions,1.9000000000000001,128395099.2,513580.3968,310260024.46160036,104279082.62201163,486532235.1160763
Affiliate_Impressions,2.0,135152736.0,540610.944,310969948.5326803,104514807.84757018,487291665.40319955
Paid_Views,0.0,0.0,0.0,1.6528167324698757,5.3878622055379156e-24,1.677095337821012e-09
Paid_Views,0.1,4449775.4,111244.38500000001,389592.5247624551,14773.226353037116,588192.5370797517
Paid_Views,0.2,8899550.8,222488.77000000002,980969.8258128187,118857.73148321528,1689325.2730063235
Paid_Views,0.30000000000000004,13349326.200000001,333733.155,1825796.3761513268,263619.36987639224,3017739.0212188214
Paid_Views,0.4,17799101.6,444977.54000000004,2920218.4700156734,815457.6133806389,4890648.482771838
Paid_Views,0.5,22248877.0,556221.925,4255633.019225112,1350671.9925184813,6842256.0601842785
Paid_Views,0.6000000000000001,26698652.400000002,667466.31,5820969.637435593,2407627.369570907,9578444.378100073
Paid_Views,0.7000000000000001,31148427.800000004,778710.6950000001,7603684.064980253,3420211.934314699,12321945.375596274
Paid_Views,0.8,35598203.2,889955.0800000001,9590492.511375345,4154358.862731561,14773410.168725045
Paid_Views,0.9,40047978.6,1001199.4650000001,11767949.942155099,5689936.446992709,18073723.358511753
Paid_Views,1.0,44497754.0,1112443.85,14122880.033515675,7247620.688192787,21300142.071460437
Paid_Views,1.1,48947529.400000006,1223688.235,16642667.15023164,8521511.186452735,24952419.977453988
Paid_Views,1.2000000000000002,53397304.800000004,1334932.62,19315431.604478844,10784095.636494916,29865518.433401193
Paid_Views,1.3,57847080.2,1446177.0050000001,22130114.560800727,12591039.28155504,33626378.24604528
Paid_Views,1.4000000000000001,62296855.60000001,1557421.3900000001,25076498.355728768,14481954.061179347,38018251.03932695
Paid_Views,1.5,66746631.0,1668665.775,28145184.1965983,15583066.981292685,42166670.94010126
Paid_Views,1.6,71196406.4,1779910.1600000001,31327544.310827687,17164349.423840918,46990108.25911796
Paid_Views,1.7000000000000002,75646181.80000001,1891154.5450000002,34615660.90263159,20172984.816865847,53303152.21040355
Paid_Views,1.8,80095957.2,2002398.9300000002,38002260.31727744,21711630.312334877,58100301.842658184
Paid_Views,1.9000000000000001,84545732.60000001,2113643.315,41480647.76483224,24374810.568337403,64555887.56773951
Paid_Views,2.0,88995508.0,2224887.7,45044645.74936124,22856328.026646987,66523012.52945543
